id,birthY,gender,nationality,label
8821,1612,1,清,允中微
8822,1612,1,清,破愚智
8823,1596,1,清,聖宣時
8824,1596,1,清,李象震
8825,1596,1,清,大志祚
8826,1596,1,清,野靜啟
8827,1629,1,清,曉輪旭
8828,1629,1,清,慧海深
8829,1629,1,清,元傑
8830,1629,1,清,慧門通
8831,1629,1,清,仁覺先
8832,1629,1,清,虗靈暹
8833,1629,1,清,善識知
8834,1629,1,清,峨月朗
8835,1629,1,清,祖幻寧
8836,1629,1,清,月庵印
8837,1629,1,清,法海鯨
8838,1629,1,清,葦庵宗
8839,1629,1,清,漢水浩
8840,1629,1,清,魯璠奐
8841,1624,1,明 清,離幻元覺
8842,1594,1,清,少古傑
8843,1594,1,清,獨步裔
8844,1593,1,清,斷流渡
8845,1593,1,清,雪機元
8846,1593,1,清,深明徹
8847,1593,1,清,非相提
8848,1597,1,清,大拙理
8849,1594,1,清,逸菴元
8850,1594,1,清,昂峰隱
8851,1612,1,清,嘯風虎
8852,1595,1,清,新開濬
8853,1594,1,清,天資粹
8854,1594,2,清,靜諾越
8855,1594,1,清,鐸夫凡
8856,1610,1,清,滿月清
8857,1610,1,清,鑌鐵瑋
8858,1599,1,清,大來果
8859,1599,1,清,漢杲印
8860,1599,1,清,在天裕
8861,1601,1,清,梲嵩宗
8862,1601,1,清,慧侃性
8863,1601,1,清,石堂穎
8864,1599,1,清,吳顯
8865,1619,1,清,石琳瑀
8866,1619,1,清,同菴潤
8867,1619,1,清,樗菴學
8868,1599,1,清,惟勤順
8869,1599,1,清,忞庵相
8870,1599,1,清,大木元
8871,1599,1,清,起聖仁
8872,1599,1,清,大宜卓
8873,1599,1,清,澍霖覺
8874,1599,1,清,且巖履
8875,1599,1,清,若雨潤
8876,1599,1,清,古懷樞
8877,1599,1,清,雨嵩霙
8878,1599,1,清,上一乘
8879,1627,1,清,燈巖德
8880,1599,1,清,吼山興
8881,1599,1,清,雪幢著
8882,1599,1,清,弘庵杲
8883,1599,1,清,雲屋音
8884,1599,2,清,佛機元
8885,1593,1,清,牧翁濟
8886,1593,1,清,悟空介威
8887,1593,1,清,桂巖嵩
8888,1593,1,清,斷指覺
8889,1593,1,清,旭峰焯
8890,1593,1,清,千山峻
8891,1593,1,清,百拙倫
8892,1593,1,清,化南上
8893,1593,1,清,放雲智
8894,1593,1,清,張國勛
8895,1593,1,清,牧庵密
8896,1593,1,清,貫之珏
8897,1593,1,清,自天育
8898,1593,1,清,岸麟駿
8899,1593,2,清,慧空
8900,1593,1,清,李謙
8901,1593,1,清,千拙覐
8902,1593,1,清,禹庵弘
8903,1593,1,清,法幢普
8904,1593,1,清,古梅寬
8905,1593,1,清,文楚演
8906,1593,1,清,萬祥麒
8907,1593,1,清,容德裕
8908,1593,1,清,拙翁最
8909,1593,1,清,機先曉
8910,1593,1,清,古癡言
8911,1593,1,清,宗遠溥
8912,1593,1,清,石龕遡
8913,1593,1,清,怡庵常
8914,1593,1,清,偉珍琦
8915,1593,1,清,拙翁聚
8916,1593,1,清,逸岩靜
8917,1593,1,清,朗慧元
8918,1593,1,清,徹翁昭
8919,1593,1,清,魯庵源
8920,1593,1,清,履中弘
8921,1593,2,清,桴海濟
8922,1593,1,清,倪超定
8923,1593,1,清,朱鳳台
8924,1593,1,清,巖立敏
8925,1636,1,清,曇紹杲
8926,1636,1,清,霖沛汾
8927,1636,1,清,晦嵓慧
8928,1636,1,清,夫隱機
8929,1636,1,清,雪乳律
8930,1636,1,清,毒符學
8931,1636,1,清,孚尹峻
8932,1636,1,清,旭庵玉
8933,1636,1,清,桂輪朗
8934,1636,1,清,咄菴永
8935,1636,1,清,燕林榮
8936,1636,1,清,自嚴律
8937,1636,1,清,天如澄
8938,1636,1,清,聞性月
8939,1621,1,清,渭南乘
8940,1621,1,清,岳樵如崇
8941,1621,1,清,端居昌泰
8942,1621,1,清,雲居鐙世
8943,1621,1,清,海月祖䂐
